"plant_id","tray","pot_pos","geno","geno2","shelf","treatment","days","h1","h2","h3","h2_h1_height_diff_avg","h3_h2_height_diff_avg","h3_h1_height_diff_avg","i_growth_days","envelope","i_dry","r_dry","assigned_no","rep"
"9H4001_1","9H4001","1","28RV210","54","4","Sun",38.2916666666667,6,121,365,16.4285714285714,34.8571428571429,25.6428571428571,14,"1681",0.2593,0.9729,"820",4
"9H4001_10","9H4001","10","27RV243","68","4","Sun",24.2916666666667,5,144,263,19.8571428571429,17,18.4285714285714,14,"824",0.1719,0.0835,"684",4
"9H4001_11","9H4001","11","27RV093","27","4","Sun",24.2916666666667,1,82,250,11.5714285714286,24,17.7857142857143,14,"820",0.122,0.0732,"643",4
"9H4001_12","9H4001","12","29RV259","62","4","Sun",45.2916666666667,3,43,NA,5.71428571428571,NA,NA,7,NA,NA,NA,"978",4
"9H4001_13","9H4001","13","27RV371","104","4","Sun",28.2916666666667,1,105,267,14.8571428571429,23.1428571428571,19,14,"1327",0.168,0.1465,"720",4
"9H4001_14","9H4001","14","27RV169","48","4","Sun",26.2916666666667,1,83,241,11.7142857142857,22.5714285714286,17.1428571428571,14,"1145",0.0729,0.0898,"664",4
"9H4001_15","9H4001","15","8RV208","63","4","Sun",24.2916666666667,1,72,193,10.1428571428571,17.2857142857143,13.7142857142857,14,"821",0.0493,0.0444,"79",4
"9H4001_2","9H4001","2","27RV091","26","4","Sun",24.2916666666667,1,87,243,12.2857142857143,22.2857142857143,17.2857142857143,14,"822",0.143,0.1353,"642",4
"9H4001_3","9H4001","3","8RV242","74","4","Sun",31.2916666666667,3,135,270,18.8571428571429,19.2857142857143,19.0714285714286,14,"1470",0.2291,0.3638,"90",4
"9H4001_4","9H4001","4","13RV023","10","4","Sun",31.2916666666667,1,75,113,10.5714285714286,5.42857142857143,8,14,"1469",0.0319,0.292,"176",4
"9H4001_5","9H4001","5","13RV166","54","4","Sun",49.2916666666667,2,79,NA,11,NA,NA,7,NA,NA,NA,"220",4
"9H4001_6","9H4001","6","8RV227","68","4","Sun",24.2916666666667,1,158,265,22.4285714285714,15.2857142857143,18.8571428571429,14,"823",0.1241,0.0556,"84",4
"9H4001_7","9H4001","7","20RV440","119","4","Sun",52.2916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"435",4
"9H4001_8","9H4001","8","28RV411","114","4","Sun",26.2916666666667,1,130,279,18.4285714285714,21.2857142857143,19.8571428571429,14,"1144",0.1833,0.079,"880",4
"9H4001_9","9H4001","9","8RV331","111","4","Sun",24.2916666666667,5,142,255,19.5714285714286,16.1428571428571,17.8571428571429,14,"825",0.1847,0.0814,"127",4
"9H4002_1","9H4002","1","20RV406","113","4","Sun",26.2916666666667,1,35,130,4.85714285714286,13.5714285714286,9.21428571428572,14,"1138",0.0353,0.0236,"429",4
"9H4002_11","9H4002","11","27RV246","69","4","Sun",26.2916666666667,1,121,332,17.1428571428572,30.1428571428571,23.6428571428571,14,"1137",0.2066,0.2204,"685",4
"9H4002_13","9H4002","13","28RV313","83","4","Sun",19.2916666666667,2,140,306,19.7142857142857,23.7142857142857,21.7142857142857,14,"223",0.1957,0.0435,"849",4
"9H4002_15","9H4002","15","20RV524","147","4","Sun",31.2916666666667,2,150,314,21.1428571428572,23.4285714285714,22.2857142857143,14,"1465",0.2017,0.1824,"463",4
"9H4002_16","9H4002","16","29RV528","120","4","Sun",26.2916666666667,1,82,222,11.5714285714286,20,15.7857142857143,14,"1136",0.0917,0.1537,"1036",4
"9H4002_2","9H4002","2","6915","Ei-2","4","Sun",35.2916666666667,1,143,311,20.2857142857143,24,22.1428571428571,14,"1621",0.3731,0.4746,"1080",4
"9H4002_3","9H4002","3","29RV249","58","4","Sun",28.2916666666667,1,125,240,17.7142857142857,16.4285714285714,17.0714285714286,14,"1316",0.0594,0.0524,"974",4
"9H4002_4","9H4002","4","28RV259","65","4","Sun",24.2916666666667,15,188,305,24.7142857142857,16.7142857142857,20.7142857142857,14,"815",0.1478,0.0643,"831",4
"9H4002_7","9H4002","7","13RV306","96","4","Sun",19.2916666666667,1,77,225,10.8571428571429,21.1428571428572,16,14,"222",0.1077,0.0766,"262",4
"9H4002_8","9H4002","8","27RV049","16","4","Sun",24.2916666666667,3,140,281,19.5714285714286,20.1428571428572,19.8571428571429,14,"816",0.1852,0.1165,"632",4
"9H4003_10","9H4003","10","13RV121","40","4","Sun",40.2916666666667,3,26,127,3.28571428571429,14.4285714285714,8.85714285714286,14,"1734",0.1153,0.6294,"206",4
"9H4003_11","9H4003","11","27RV325","89","4","Sun",24.2916666666667,1,116,279,16.4285714285714,23.2857142857143,19.8571428571429,14,"844",0.1722,0.1061,"705",4
"9H4003_12","9H4003","12","20RV456","123","4","Sun",28.2916666666667,2,114,260,16,20.8571428571429,18.4285714285714,14,"1354",0.2024,0.1423,"439",4
"9H4003_13","9H4003","13","8314","KA-0","4","Sun",26.2916666666667,1,147,322,20.8571428571429,25,22.9285714285714,14,"1169",0.1934,0.1693,"1141",4
"9H4003_14","9H4003","14","13RV254","82","4","Sun",21.2916666666667,1,79,243,11.1428571428571,23.4285714285714,17.2857142857143,14,"489",0.129,0.0729,"248",4
"9H4003_15","9H4003","15","20RV080","20","4","Sun",26.2916666666667,1,118,294,16.7142857142857,25.1428571428571,20.9285714285714,14,"1168",0.1902,0.1562,"336",4
"9H4003_16","9H4003","16","13RV420","126","4","Sun",24.2916666666667,1,104,271,14.7142857142857,23.8571428571429,19.2857142857143,14,"843",0.1859,0.1088,"292",4
"9H4003_3","9H4003","3","8RV339","113","4","Sun",31.2916666666667,2,110,265,15.4285714285714,22.1428571428571,18.7857142857143,14,"1483",0.0651,0.0827,"129",4
"9H4003_4","9H4003","4","8RV069","26","4","Sun",21.2916666666667,1,111,198,15.7142857142857,12.4285714285714,14.0714285714286,14,"490",0.0745,0.0662,"42",4
"9H4003_5","9H4003","5","20RV182","48","4","Sun",42.2916666666667,1,104,257,14.7142857142857,21.8571428571429,18.2857142857143,14,"1788",NA,NA,"364",4
"9H4003_7","9H4003","7","28RV138","41","4","Sun",33.2916666666667,12,160,288,21.1428571428571,18.2857142857143,19.7142857142857,14,"1562",0.2974,0.3066,"807",4
"9H4003_8","9H4003","8","21RV231","69","4","Sun",52.2916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"535",4
"9H4003_9","9H4003","9","28RV117","36","4","Sun",24.2916666666667,1,134,323,19,27,23,14,"845",0.1448,0.107,"802",4
"9H4004_12","9H4004","12","28RV385","106","4","Sun",35.2916666666667,4,163,250,22.7142857142857,12.4285714285714,17.5714285714286,14,"1625",0.2742,0.3007,"872",4
"9H4004_13","9H4004","13","27RV473","137","4","Sun",28.2916666666667,1,101,235,14.2857142857143,19.1428571428571,16.7142857142857,14,"1353",0.1804,0.1083,"753",4
