"plant_id","tray","pot_pos","geno","geno2","shelf","treatment","days","h1","h2","h3","h2_h1_height_diff_avg","h3_h2_height_diff_avg","h3_h1_height_diff_avg","i_growth_days","envelope","i_dry","r_dry","assigned_no","rep"
"8H4001_10","8H4001","10","28RV328","88","4","Sun",24.2916666666667,3,117,280,16.2857142857143,23.2857142857143,19.7857142857143,14,"799",0.2775,0.1301,"854",3
"8H4001_11","8H4001","11","13RV036","16","4","Sun",33.2916666666667,1,45,124,6.28571428571429,11.2857142857143,8.78571428571429,14,"1501",0.0303,0.0965,"182",3
"8H4001_12","8H4001","12","13RV056","22","4","Sun",49.2916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"188",3
"8H4001_14","8H4001","14","29RV222","50","4","Sun",35.2916666666667,4,30,120,3.71428571428571,12.8571428571429,8.28571428571429,14,"1548",0.1184,0.4544,"966",3
"8H4001_15","8H4001","15","20RV328","94","4","Sun",38.2916666666667,4,140,308,19.4285714285714,24,21.7142857142857,14,"1598",0.3897,0.5637,"410",3
"8H4001_16","8H4001","16","21RV163","46","4","Sun",28.2916666666667,1,103,255,14.5714285714286,21.7142857142857,18.1428571428571,14,"1256",0.1404,0.2742,"512",3
"8H4001_2","8H4001","2","29RV122","21","4","Sun",33.2916666666667,5,135,301,18.5714285714286,23.7142857142857,21.1428571428571,14,"1502",0.1958,0.3027,"937",3
"8H4001_3","8H4001","3","27RV020","6","4","Sun",26.2916666666667,1,52,57,7.28571428571429,0.714285714285714,4,14,"1056",0.061,0.2956,"622",3
"8H4001_4","8H4001","4","8RV331","111","4","Sun",24.2916666666667,3,111,259,15.4285714285714,21.1428571428572,18.2857142857143,14,"798",0.2637,0.0945,"127",3
"8H4001_5","8H4001","5","29RV058","9","4","Sun",49.2916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"925",3
"8H4001_7","8H4001","7","8303","H55","4","Sun",26.2916666666667,1,15,127,2,16,9,14,"1057",0.0639,0.2097,"1138",3
"8H4001_9","8H4001","9","20RV080","20","4","Sun",26.2916666666667,1,71,218,10,21,15.5,14,"1058",0.1851,0.257,"336",3
