Population,RB ~ BD,IG ~ BD,IG ~ RB,IB ~ BD,IB ~ RB,IB ~ IG
Blh-1,0.582753028466369,-0.154995766119889,0.118215298355218,0.0703010303309289,0.122160256793646,0.219091986363732
Bur-0,0.404892812701291,,0.0715556355652437,,0.533638301287605,0.239061442414658
Cvi-0,0.283643520611009,,0.955924024213411,,1.65419672647057,0.248045499490962
Ita-0,0.370911839103811,-0.0238874516571823,0.0508961638678121,,0.262945744533731,0.717016802227544
Jea,0.654543437910255,-0.23358365672468,0.381410108116268,,0.307033368248698,0.402275597046183
Oy-0,0.112442686137894,,0.789257705599029,,1.24838825859782,0.2689982007498
Sha,0.843988620490394,,,,0.167809488190736,0.362025134626181
