"geno","LL_r","LL_d","LL_Lmax","LL_it","LL_is","LW_r","LW_d","LW_Lmax","LW_it","LW_is","LL_STP","LW_STP"
"13RV363",0.0165673492101516,554.719302734018,23.7951664902593,376.624384367434,11.8975832370335,0.0152789052177276,543.00439805866,9.1065292805953,352.073414401988,4.55326463312622,22.8036980549562,8.67597449358432
"13RV366",0.0205850929386077,505.902923049407,28.0826619151528,359.530635454885,14.0413309631878,0.0190162760949554,491.30617436264,10.8018457297054,332.487305427719,5.40092287718404,26.2482994882918,10.110904037292
"13RV377",0.0152417628487136,602.134384643673,25.0311710942633,405.734918276444,12.515585545829,0.0156343617829524,538.185176965078,8.82127739843838,349.334824707053,4.41063868976591,22.4030756790644,8.62237968416352
"13RV038",0.0184463281935421,539.949968993128,27.5585915103213,377.507119573112,13.7792957623749,0.01964710109807,496.792923440107,9.97711893167972,340.201817719504,4.98855946566372,25.7215629376675,9.25595329840058
"13RV381",0.0190380164844015,537.373189808032,24.420164260692,378.556702512299,12.2100821267974,0.017608170238655,515.714702230804,9.31719478307172,345.502303390972,4.65859738684096,23.604708119448,8.84547486178295
"13RV387",0.0218039773806844,489.552498086341,24.9274145586717,352.838221933334,12.4637072782361,0.0201326813346801,488.95009386287,11.0880664525523,335.922192960842,5.54403324272977,23.8280677274183,10.3570360534882
"13RV388",0.01688074252016,555.437127962419,26.9811961822885,380.213003538623,13.4905980968972,0.0168230782460989,526.668881471258,11.443588444118,349.017036510072,5.72179424180337,24.6106390299066,10.1876905021648
"13RV039",0.020366354008973,512.677413596791,26.5709608495676,365.661241847038,13.2854804267249,0.0176195329752169,510.182517425471,10.5433701696148,339.784381341225,5.27168509318144,25.1668302919466,10.2955935163092
"13RV395",0.0203014217922649,477.579411226149,22.1020277513059,334.335478635951,11.0510138668981,0.0176039703341437,491.416542996012,9.27427058630953,324.441700151139,4.63713528824253,20.8409535065658,8.28773691773438
"13RV004",0.0163919185501294,569.450140457922,25.9699350441705,387.744870718923,12.9849675245561,0.0157589629150989,524.9160197831,8.54470326567784,339.686426690562,4.27235161546617,24.0826692239305,8.37708447905449
"13RV402",0.0141118867668322,629.282760628716,23.8513606985749,415.642452562547,11.9256803419243,0.015687925004413,541.504024928275,8.00167373841032,352.694444858549,4.00083684641999,22.8628618840772,7.23378065044835
"13RV404",0.0188588394786719,505.236168680443,21.3078644423965,348.716200541782,10.6539322058821,0.0163411042437718,517.812356582887,9.66634161373062,338.798323603416,4.83317080483044,19.9058351229703,9.06338921193094
"13RV405",0.0219777377069451,483.261610458495,24.3785694499347,347.779226773033,12.1892847213918,0.0182674373102137,492.306991176967,9.71281001676722,329.338141323898,4.85640500648848,23.6457573099437,9.55233747684313
"13RV041",0.018602787746478,545.324864272499,24.6850357556576,381.763746681987,12.3425178753972,0.0185432879239613,518.579400015474,11.1972044118489,351.666281251498,5.59860222046445,23.8894591904969,9.55233747684313
"13RV410",0.0204040666631124,511.863977962816,26.4484288242032,364.034127335833,13.2242144161429,0.0184127942615372,521.255621490143,11.190777924141,353.501578925998,5.59538897539106,25.6943744521149,10.2955935163092
"13RV411",0.021129410779358,514.825496256235,23.2600604193637,369.680355018261,11.6300302024126,0.0172980343679352,526.813355945071,10.4621390152811,352.380058102748,5.23106951845953,21.9780888674263,10.1304694242425
"13RV412",0.0150322272889419,582.252303202432,17.1284020537302,384.552031751915,8.56420099656255,0.0153083864224433,517.588970347342,6.41542107004446,351.566651094323,3.20771048765735,15.7172004105029,6.44893664231489
"13RV416",0.0188519542658621,525.898650731963,25.2692942368746,366.808903585321,12.6346471164602,0.0173330313550258,510.727328994025,10.0422900471887,338.257502727791,5.02114502633331,24.055480738378,9.40321280583151
"13RV418",0.0192950212563554,521.371244655211,28.4508479423498,366.889836739979,14.2254239798475,0.0190811974301324,496.9585540621,10.7265555673489,337.917604156136,5.36327779241192,26.4044353183912,9.18011762821209
"13RV420",0.0214490191967152,495.60452571726,26.0301944450378,354.305281401047,13.015097224855,0.0173259180514455,497.905605427031,9.99083018554608,332.52381740013,4.99541509465986,25.573556252781,9.06857003940237
"13RV421",0.0159946277563855,578.582889774381,29.1357288153065,391.987312081925,14.5678644195458,0.016502110732843,543.348331088706,11.1665003953346,360.481752101897,5.58325021198682,27.5155785833265,9.96095074988008
"13RV425",0.0188366933955371,543.194424967068,27.6108563509406,382.260267932308,13.8054281833936,0.0174468734004956,519.336811853143,9.90118362354739,347.004553769259,4.95059181510491,25.573556252781,9.38782497566389
"13RV428",0.0154674155405054,582.037816315082,23.0989895399073,390.398277990314,11.5494947630239,0.0152280407779867,547.896798011741,8.59270898799345,354.069336591583,4.29635448208044,22.282912435026,8.51083209535381
"13RV431",0.0158197369894342,594.131627057614,24.7991428809709,402.736365807883,12.3995714395354,0.0147461818589269,563.506359125191,8.9085714209739,362.104692654162,4.4542857018955,23.3643816313712,8.73392727297323
"13RV434",0.0158333673379245,588.070455310345,22.2780743233755,396.984023459738,11.1390371530542,0.0164367644333681,541.887493656392,8.54609374113477,357.652822141069,4.27304685839733,21.0812799946425,8.28773691773438
"13RV435",0.0165308815590884,574.167769772615,23.7527389264815,393.368820049153,11.876369460342,0.0150897171767405,552.743659828736,8.26189386082383,357.606163944415,4.13094691475023,22.3257484898261,8.47374572631799
"13RV439",0.0204101948414925,532.950006696214,26.77383829336,382.068019701626,13.3869191504583,0.0180854593613515,527.38080052385,10.4353663635406,356.500740596057,5.2176831928023,25.1156586768669,9.53105229755511
"13RV442",0.0163960063827108,568.535767227919,30.0039607774909,386.178010758754,15.0019804076592,0.0170662605769046,520.738922121442,11.8128369361986,345.316406397003,5.90641849419335,29.1244926325444,11.1455626143561
"13RV451",0.0159510449552323,591.71215664813,26.4265498610098,401.655770914676,13.2132749340183,0.0176755757585978,516.593184026574,9.16153635351016,345.234944596011,4.58076817062695,24.2684423905798,8.72982446403388
"13RV460",0.0148653650440518,612.183819667034,27.0011583224962,408.638899991336,13.5005791667491,0.016634077547638,521.149442151579,9.14242068116408,343.529371394403,4.57121033110876,24.7541093959125,8.78647421457903
"13RV471",0.022448846022785,487.514991850991,24.208148789273,352.975655897471,12.1040743881248,0.0182745521397156,508.689982033532,10.6128856354801,342.70880354814,5.30644282976598,23.2175288805422,9.81821125344346
