"geno","plant_id","tray","pot_pos","geno2","shelf","treatment","envelope","rep","cross","bd","h2_h1","h3_h2","h3_h1","i_dry","r_dry","A4","B4","A5","B5","AA","AB","BA","BB"
"13RV_13RV001","2H6002_4","2H6002",4,"1",6,"Sun",1000,1,"sha_col",-0.177391632843378,0.214268839674104,NA,NA,0.6213457532236,0.436511555511939,0.999999999999996,4.32986979603811e-15,3.53921336682106e-11,0.999999999964608,3.53921336682104e-11,0.999999999964604,1.53243330587329e-25,4.32986979588487e-15
"13RV_13RV001","2L3002_4","2L3002",4,"1",3,"Shade",908,1,"sha_col",-0.177391632843378,1.37190555485843,-0.400753527072042,0.838706643214557,0.273524659541274,-0.859297627989139,0.999999999999996,4.32986979603811e-15,3.53921336682106e-11,0.999999999964608,3.53921336682104e-11,0.999999999964604,1.53243330587329e-25,4.32986979588487e-15
"13RV_13RV001","3H4017_4","3H4017",4,"1",4,"Sun",300,0,"sha_col",-2.07665697818687,-0.646431853075174,0.0027806626049413,-0.523936136142653,-0.533885814767605,-0.362153760743522,0.999999999999996,4.32986979603811e-15,3.53921336682106e-11,0.999999999964608,3.53921336682104e-11,0.999999999964604,1.53243330587329e-25,4.32986979588487e-15
"13RV_13RV001","3H4022_3","3H4022",3,"1",4,"Sun",289,0,"sha_col",-2.07665697818687,-1.54271809120892,-0.0906546578551972,-1.15803609244258,-1.34883228561686,-0.66661762975308,0.999999999999996,4.32986979603811e-15,3.53921336682106e-11,0.999999999964608,3.53921336682104e-11,0.999999999964604,1.53243330587329e-25,4.32986979588487e-15
"13RV_13RV001","3H5005_8","3H5005",8,"1",5,"Sun",1054,0,"sha_col",-0.524746921556531,-0.899508070064526,-0.449393122007658,-0.989254808936671,-0.561492423825211,0.173724307067177,0.999999999999996,4.32986979603811e-15,3.53921336682106e-11,0.999999999964608,3.53921336682104e-11,0.999999999964604,1.53243330587329e-25,4.32986979588487e-15
"13RV_13RV001","3H5007_11","3H5007",11,"1",5,"Sun",323,0,"sha_col",-2.07665697818687,-0.578901550248442,-0.522849284496642,-0.819459219247534,-0.0707463003629829,-0.638943132764238,0.999999999999996,4.32986979603811e-15,3.53921336682106e-11,0.999999999964608,3.53921336682104e-11,0.999999999964604,1.53243330587329e-25,4.32986979588487e-15
"13RV_13RV001","3H6007_3","3H6007",3,"1",6,"Sun",881,0,"sha_col",-0.878379718051946,-0.336062828260924,-1.48730965393629,-1.21914845628084,-0.686969133526525,0.0423368423134469,0.999999999999996,4.32986979603811e-15,3.53921336682106e-11,0.999999999964608,3.53921336682104e-11,0.999999999964604,1.53243330587329e-25,4.32986979588487e-15
"13RV_13RV001","3H6008_14","3H6008",14,"1",6,"Sun",1081,0,"sha_col",-2.07665697818687,-0.249459367669014,-2.25551263038646,-1.36117536460496,0.680195335082201,-0.76851649417332,0.999999999999996,4.32986979603811e-15,3.53921336682106e-11,0.999999999964608,3.53921336682104e-11,0.999999999964604,1.53243330587329e-25,4.32986979588487e-15
"13RV_13RV001","3L1017_4","3L1017",4,"1",1,"Shade",404,0,"sha_col",-1.29326224708559,-0.737425732673803,-0.671625787043387,-1.02001937698147,-1.52699883279782,-0.972955700378526,0.999999999999996,4.32986979603811e-15,3.53921336682106e-11,0.999999999964608,3.53921336682104e-11,0.999999999964604,1.53243330587329e-25,4.32986979588487e-15
"13RV_13RV001","3L1022_3","3L1022",3,"1",1,"Shade",143,0,"sha_col",-2.07665697818687,-0.783352553720498,-0.646651728833705,-1.03538898935981,-1.40333065075857,-1.95488670936041,0.999999999999996,4.32986979603811e-15,3.53921336682106e-11,0.999999999964608,3.53921336682104e-11,0.999999999964604,1.53243330587329e-25,4.32986979588487e-15
"13RV_13RV001","3L2005_8","3L2005",8,"1",2,"Shade",197,0,"sha_col",-2.07665697818687,-1.16262466306265,-0.304243555885595,-1.06610265924569,-0.538453928777991,-0.787181290625419,0.999999999999996,4.32986979603811e-15,3.53921336682106e-11,0.999999999964608,3.53921336682104e-11,0.999999999964604,1.53243330587329e-25,4.32986979588487e-15
