"geno","plant_id","tray","pot_pos","geno2","shelf","treatment","envelope","rep","cross","bd","h2_h1","h3_h2","h3_h1","i_dry","r_dry","A4","B4","A5","B5","AA","AB","BA","BB"
"27RV_27RV001","2H6011_1","2H6011",1,"1",6,"Sun",NA,1,"oy_col",1.25567441751391,1.75721214618465,NA,NA,NA,NA,0.0785937061859918,0.921406293814008,0.99999996928186,3.07181398095935e-08,0.0785937037717394,2.41425245477541e-09,0.921406265510121,2.83038873548181e-08
"27RV_27RV001","2L3011_1","2L3011",1,"1",3,"Shade",1433,1,"oy_col",0.717352592007723,1.08569154031827,NA,NA,1.85539109553975,0.957085255571695,0.0785937061859918,0.921406293814008,0.99999996928186,3.07181398095935e-08,0.0785937037717394,2.41425245477541e-09,0.921406265510121,2.83038873548181e-08
"27RV_27RV001","5H4021_4","5H4021",4,"1",4,"Sun",1171,2,"oy_col",0.206208781238798,1.12161448054209,-0.114153259353555,0.763350586808283,0.22950862987237,0.164627269215172,0.0785937061859918,0.921406293814008,0.99999996928186,3.07181398095935e-08,0.0785937037717394,2.41425245477541e-09,0.921406265510121,2.83038873548181e-08
"27RV_27RV001","5L1021_4","5L1021",4,"1",1,"Shade",478,2,"oy_col",-0.477416775850869,0.19249466856271,0.612230269955731,0.52194987098399,-0.317981249221943,-0.753448006830613,0.0785937061859918,0.921406293814008,0.99999996928186,3.07181398095935e-08,0.0785937037717394,2.41425245477541e-09,0.921406265510121,2.83038873548181e-08
"27RV_27RV001","8H5023_8","8H5023",8,"1",5,"Sun",1282,3,"oy_col",0.427028632720756,-0.1850541862995,0.277997967397731,-0.00449737291779976,0.316392766040494,0.357188525283911,0.0785937061859918,0.921406293814008,0.99999996928186,3.07181398095935e-08,0.0785937037717394,2.41425245477541e-09,0.921406265510121,2.83038873548181e-08
"27RV_27RV001","8L2023_8","8L2023",8,"1",2,"Shade",402,3,"oy_col",-0.477416775850869,-0.669075894060182,0.808051525159321,0.0272175206180774,0.185255065873784,-0.328208001773046,0.0785937061859918,0.921406293814008,0.99999996928186,3.07181398095935e-08,0.0785937037717394,2.41425245477541e-09,0.921406265510121,2.83038873548181e-08
"27RV_27RV001","9H6004_16","9H6004",16,"1",6,"Sun",962,4,"oy_col",-0.041586431398386,0.396403687239879,NA,NA,-0.616577969210086,-1.09374084779912,0.0785937061859918,0.921406293814008,0.99999996928186,3.07181398095935e-08,0.0785937037717394,2.41425245477541e-09,0.921406265510121,2.83038873548181e-08
"27RV_27RV002","2H5014_1","2H5014",1,"2",5,"Sun",985,1,"oy_col",-0.177391632843378,0.57057882212207,NA,NA,0.311885056119618,0.712315318704591,0.0785937061859918,0.921406293814008,3.07181404757273e-08,0.999999969281859,2.41425250712933e-09,0.0785937037717393,2.8303887968598e-08,0.92140626551012
"27RV_27RV002","2L2014_1","2L2014",1,"2",2,"Shade",601,1,"oy_col",-0.477416775850869,1.36097793035705,-1.74609215126744,-0.27301764925616,0.304646943315902,0.327259880716976,0.0785937061859918,0.921406293814008,3.07181404757273e-08,0.999999969281859,2.41425250712933e-09,0.0785937037717393,2.8303887968598e-08,0.92140626551012
"27RV_27RV002","5H5015_11","5H5015",11,"2",5,"Sun",944,2,"oy_col",-0.177391632843378,0.556890021048638,0.41292908854719,0.666639429846859,0.644397488446142,-0.00662292055629802,0.0785937061859918,0.921406293814008,3.07181404757273e-08,0.999999969281859,2.41425250712933e-09,0.0785937037717393,2.8303887968598e-08,0.92140626551012
"27RV_27RV002","5L2015_11","5L2015",11,"2",2,"Shade",204,2,"oy_col",-0.823373927890408,0.516977125489423,0.479765240389381,0.682744132119947,0.354658051282196,-0.290455806821696,0.0785937061859918,0.921406293814008,3.07181404757273e-08,0.999999969281859,2.41425250712933e-09,0.0785937037717393,2.8303887968598e-08,0.92140626551012
"27RV_27RV002","8H4009_4","8H4009",4,"2",4,"Sun",1066,3,"oy_col",0.206208781238798,-0.227939988081207,0.141314085958641,-0.131098270674531,-0.21251676866714,0.310185367244655,0.0785937061859918,0.921406293814008,3.07181404757273e-08,0.999999969281859,2.41425250712933e-09,0.0785937037717393,2.8303887968598e-08,0.92140626551012
"27RV_27RV002","8L1009_4","8L1009",4,"2",1,"Shade",342,3,"oy_col",-0.477416775850869,-0.760352273685909,1.2527073752189,0.297805185308879,-0.367925986763833,-0.682255948700133,0.0785937061859918,0.921406293814008,3.07181404757273e-08,0.999999969281859,2.41425250712933e-09,0.0785937037717393,2.8303887968598e-08,0.92140626551012
