"plant_id","tray","pot_pos","geno","geno2","shelf","treatment","envelope","rep","cross","bd","h3_h1","i_dry","r_dry"
"2H4003_7","2H4003",7,"20RV323","90",4,"Sun",1486,1,"bur_col",0.795860184772765,1.12393135105604,0.896285170452911,1.36995074125882
"2H4003_8","2H4003",8,"13RV058","23",4,"Sun",1485,1,"sha_col",0.795860184772765,1.03013289021025,1.38898286822345,0.911056460068644
"2H4003_9","2H4003",9,"27RV278","79",4,"Sun",1135,1,"oy_col",0.187423883105303,NA,1.00729077828004,-0.0254308871951351
"2H4004_1","2H4004",1,"8RV112","38",4,"Sun",694,1,"cvi_col",-0.490407063498618,-0.0582708359121428,0.910806216753347,-0.581456247609332
"2H4004_10","2H4004",10,"21RV055","18",4,"Sun",NA,1,"blh_col",1.33234691292716,NA,NA,NA
"2H4004_11","2H4004",11,"8RV402","127",4,"Sun",NA,1,"cvi_col",1.58249310859434,-1.04078005064515,NA,NA
"2H4004_12","2H4004",12,"28RV250","64",4,"Sun",1467,1,"jea_col",0.795860184772765,0.670104400407462,0.721279972448605,0.930499675904901
"2H4004_13","2H4004",13,"27RV235","65",4,"Sun",1102,1,"oy_col",0.187423883105303,NA,1.19091948115711,0.609084791945245
"2H4004_14","2H4004",14,"8RV224","67",4,"Sun",NA,1,"cvi_col",1.90275823628666,NA,NA,NA
"2H4004_15","2H4004",15,"28RV092","29",4,"Sun",1468,1,"jea_col",0.795860184772765,1.13734609218768,1.33611446761206,1.50387604568002
"2H4004_16","2H4004",16,"20RV502","139",4,"Sun",1099,1,"bur_col",0.187423883105303,NA,1.09514723937288,1.13431044188678
"2H4004_3","2H4004",3,"21RV138","43",4,"Sun",1301,1,"blh_col",0.410114698004073,NA,0.301842448915094,1.38757610149213
"2H4004_3","2H4004",3,"9057","VINSLOV",4,"Sun",1301,1,"accession",0.410114698004073,NA,0.301842448915094,1.38757610149213
"2H4004_4","2H4004",4,"13RV405","120",4,"Sun",1098,1,"sha_col",0.187423883105303,NA,1.27396239526011,1.0743679599527
"2H4004_5","2H4004",5,"8RV495","149",4,"Sun",406,1,"cvi_col",-0.827273937535105,0.364718455008391,-0.601574929752307,0.0701274628281642
"2H4004_6","2H4004",6,"29RV640","150",4,"Sun",1101,1,"ita_col",-0.194996438790942,NA,1.94908280014682,0.800375735110548
"2H4004_7","2H4004",7,"13RV031","14",4,"Sun",1100,1,"sha_col",0.187423883105303,NA,1.2990978662573,1.06892937111862
"2H4004_8","2H4004",8,"13RV418","125",4,"Sun",693,1,"sha_col",-0.490407063498618,0.989990139597607,0.364212861424482,-0.269689842340881
"2H4004_9","2H4004",9,"29RV409","100",4,"Sun",1302,1,"ita_col",0.410114698004073,NA,1.21101531752774,1.45697063883815
"2H4005_1","2H4005",1,"8RV315","105",4,"Sun",680,1,"cvi_col",-0.490407063498618,1.5234486820564,0.627093154761414,-0.648279634755599
"2H4005_11","2H4005",11,"8RV259","80",4,"Sun",NA,1,"cvi_col",1.12016370733099,0.0213916425721619,NA,NA
"2H4005_12","2H4005",12,"8RV362","120",4,"Sun",417,1,"cvi_col",-1.4358498330304,0.537498342566589,-0.480765366185194,-3.66764358612081
"2H4005_13","2H4005",13,"27RV338","94",4,"Sun",960,1,"oy_col",-0.194996438790942,NA,0.433547365822373,0.00806308104238305
"2H4005_14","2H4005",14,"27RV517","150",4,"Sun",NA,1,"oy_col",1.12016370733099,0.989990139597607,NA,NA
"2H4005_16","2H4005",16,"27RV441","129",4,"Sun",418,1,"oy_col",-0.827273937535105,1.49988119412501,0.359835580437896,-0.568770954771217
"2H4005_2","2H4005",2,"8RV311","104",4,"Sun",167,1,"cvi_col",-1.4358498330304,1.88859173371052,0.838217813673309,-0.56596851979889
"2H4005_4","2H4005",4,"6008","DUK",4,"Sun",NA,1,"accession",1.33234691292716,NA,NA,NA
"2H4005_5","2H4005",5,"13RV275","89",4,"Sun",959,1,"sha_col",-0.194996438790942,NA,-0.0595689878930023,-0.0830878554376028
"2H4005_9","2H4005",9,"27RV385","109",4,"Sun",1479,1,"oy_col",1.12016370733099,2.40856187246448,1.34001555528905,2.20904714221168
"2H4006_1","2H4006",1,"13RV156","52",4,"Sun",1294,1,"sha_col",0.187423883105303,NA,1.29610126083188,1.0666578084716
"2H4006_10","2H4006",10,"28RV370","102",4,"Sun",1462,1,"jea_col",0.410114698004073,NA,1.73158721269788,1.08068964488263
"2H4006_11","2H4006",11,"29RV022","4",4,"Sun",NA,1,"ita_col",1.58249310859434,-2.15644643362607,NA,NA
"2H4006_12","2H4006",12,"8RV296","94",4,"Sun",1460,1,"cvi_col",0.410114698004073,NA,1.09458400051066,0.259508257382771
"2H4006_13","2H4006",13,"29RV621","143",4,"Sun",1110,1,"ita_col",-0.194996438790942,NA,1.17434623164502,0.467168673834513
"2H4006_14","2H4006",14,"21RV234","70",4,"Sun",1293,1,"blh_col",0.187423883105303,NA,1.15706565116005,0.692190881305674
"2H4006_15","2H4006",15,"27RV311","87",4,"Sun",1291,1,"oy_col",0.187423883105303,NA,1.60759653471062,0.774854281892542
"2H4006_16","2H4006",16,"13RV015","8",4,"Sun",1290,1,"sha_col",0.187423883105303,NA,1.42178811537158,0.876567650486054
"2H4006_16","2H4006",16,"8271","BU-0",4,"Sun",1290,1,"accession",0.187423883105303,NA,1.42178811537158,0.876567650486054
"2H4006_2","2H4006",2,"27RV078","24",4,"Sun",1292,1,"oy_col",0.187423883105303,NA,1.77591079801792,1.14473616523645
"2H4006_3","2H4006",3,"29RV638","149",4,"Sun",NA,1,"ita_col",1.58249310859434,-1.53656925118423,NA,NA
