AGI
AT1G01260
AT1G02340
AT1G02400
AT1G06390
AT1G09460
AT1G09570
AT1G10140
AT1G14280
AT1G29500
AT1G52190
AT1G64660
AT1G67050
AT1G67600
AT1G68560
AT1G68620
AT1G69010
AT1G69160
AT1G69490
AT1G70210
AT1G73480
AT1G75820
AT1G76490
AT1G78700
AT2G05790
AT2G18090
AT2G18300
AT2G18790
AT2G19660
AT2G21200
AT2G21270
AT2G26710
AT2G31680
AT2G31980
AT2G38120
AT2G40060
AT2G41760
AT2G42620
AT2G43060
AT2G45960
AT2G46270
AT2G46800
AT2G47440
AT3G02170
AT3G02180
AT3G03870
AT3G04730
AT3G04740
AT3G05890
AT3G06750
AT3G07000
AT3G07350
AT3G12650
AT3G15760
AT3G17100
AT3G23640
AT3G29370
AT3G29575
AT3G44610
AT3G45780
AT3G54000
AT3G54030
AT3G54200
AT3G57800
AT3G58800
AT3G60200
AT3G61980
AT3G62650
AT4G00820
AT4G01330
AT4G14130
AT4G16500
AT4G22190
AT4G22200
AT4G27450
AT4G32280
AT4G32290
AT4G34000
AT4G38470
AT5G01210
AT5G02020
AT5G12050
AT5G15150
AT5G16030
AT5G18060
AT5G18650
AT5G19450
AT5G22940
AT5G25350
AT5G44210
AT5G48900
AT5G49700
AT5G50670
AT5G54470
AT5G57660
AT5G60680
AT5G60850
AT5G60860
AT5G62280
AT1G03630
AT1G07360
AT1G08550
AT1G17220
AT1G17420
AT1G23360
AT1G30530
AT1G33590
AT1G44110
AT1G48030
AT1G49230
AT1G53230
AT1G56500
AT1G59600
AT1G66480
AT1G71100
AT1G74960
AT1G75140
AT1G77460
AT1G80770
AT2G04270
AT2G15050
AT2G17033
AT2G21790
AT2G23670
AT2G26900
AT2G30010
AT2G30860
AT2G31040
AT2G31790
AT2G38670
AT2G40330
AT2G40480
AT2G40490
AT2G40840
AT2G42600
AT2G43030
AT2G43550
AT2G45560
AT2G46920
AT2G47240
AT2G47510
AT3G01860
AT3G02250
AT3G06035
AT3G07640
AT3G10690
AT3G12700
AT3G15110
AT3G17680
AT3G18420
AT3G19170
AT3G19490
AT3G19720
AT3G20260
AT3G23210
AT3G23410
AT3G24770
AT3G25480
AT3G25760
AT3G26060
AT3G28130
AT3G29030
AT3G46780
AT3G46970
AT3G48730
AT3G50070
AT3G51820
AT3G52540
AT3G54750
AT3G55350
AT3G55390
AT3G58510
AT3G61820
AT3G62910
AT4G00880
AT4G01690
AT4G11600
AT4G12320
AT4G15440
AT4G18220
AT4G20430
AT4G25990
AT4G27830
AT4G33400
AT4G34590
AT4G34950
AT4G39260
AT4G39940
AT4G39980
AT5G05200
AT5G08070
AT5G09650
AT5G17700
AT5G27820
AT5G28370
AT5G38530
AT5G39760
AT5G45650
AT5G46740
AT5G49030
AT5G51560
AT5G51820
AT5G52450
AT5G54180
AT5G59130
AT5G60120
AT5G62360
AT5G62630
AT5G62740
AT5G64850
AT5G66770
