AGI
AT5G39535
AT1G10585
AT3G28740
AT1G05680
AT2G45220
AT3G55970
AT4G37990
AT3G48520
AT4G16260
AT1G05340
AT5G16960
AT2G05440
AT5G17860
AT1G43160
AT3G44300
AT1G52890
AT4G22470
AT1G61120
AT3G26830
AT1G51780
AT2G37770
AT3G17050
AT2G18115
AT2G39030
AT3G49620
AT5G44260
AT4G32280
AT5G05340
AT5G18050
AT2G30770
AT3G55240
AT2G07707
AT1G15790
AT5G07010
AT5G62280
AT4G21680
AT2G45570
AT1G09500
AT3G45060
AT3G46660
AT1G06080
AT5G64120
AT2G29350
AT3G46658
AT2G38380
AT3G25905
AT1G15800
AT2G33380
AT5G61820
AT5G13330
AT4G02380
AT5G18020
AT2G07708
AT5G26340
AT4G01870
AT4G16780
AT3G15540
AT2G39980
AT2G39725
AT5G45820
AT1G12080
AT5G57770
AT5G02760
AT5G57760
AT5G02540
AT5G20230
AT2G22470
AT3G23030
AT5G05600
AT1G17420
AT5G46730
AT2G37180
AT4G34710
AT5G12050
AT4G23600
AT2G42540
AT5G57660
AT5G24780
AT5G22580
AT3G28220
AT3G23450
AT1G03870
AT5G22500
AT1G62380
AT3G23050
AT4G02850
AT1G16410
AT5G08640
AT3G58990
AT1G18590
AT1G53480
AT1G61560
AT5G42800
AT3G01345
AT3G29590
AT5G51190
AT1G62766
